src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
0.0.0.0,255.255.255.255,68,67,17,2025-08-12 05:47:09,59.469634,34.505004688611336,0.10089182657488695,0.10089182657488695,0.0,6,0,2052,0,342,342,342.0,0.0,0,0,0,0.0,342,342,342.0,0.0,0.0,120,0,20,6,11.8939268,32.381729,0.0,11.516192113945293,59.469634,32.381729,0.0,11.8939268,11.516192113945293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,0,0,6,0,2052,0
192.168.56.2,192.168.56.1,41316,80,6,2025-08-12 05:52:45,127.38112,5.22840433495953,0.07065411263458823,0.07065411263458823,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.922640000000001,120.262983,0.0,39.440165468349846,127.38112000000001,120.262983,0.0,15.922640000000001,39.440165468349846,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41332,80,6,2025-08-12 05:52:45,127.386263,5.2281932471792505,0.0706512600970169,0.0706512600970169,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.923282874999998,120.274363,0.0,39.44422371817739,127.386263,120.274363,0.0,15.923282874999998,39.44422371817739,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41350,80,6,2025-08-12 05:52:45,127.381895,5.228372524996586,0.07065368277022413,0.07065368277022413,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.922736875,120.25443,0.0,39.43690412857843,127.381895,120.25443,0.0,15.922736875,39.43690412857843,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41372,80,6,2025-08-12 05:52:45,127.376508,5.228593643028744,0.0706566708517398,0.0706566708517398,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.9220635,120.238612,0.0,39.431156828889925,127.376508,120.238612,0.0,15.9220635,39.431156828889925,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41390,80,6,2025-08-12 05:52:45,127.378765,5.22850099857696,0.07065541889968865,0.07065541889968865,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.922345624999998,120.252501,0.0,39.43629939957166,127.378765,120.252501,0.0,15.922345624999998,39.43629939957166,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41418,80,6,2025-08-12 05:52:45,127.392161,5.227951192381453,0.07064798908623585,0.07064798908623585,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.924020125,120.277642,0.0,39.44516864647644,127.392161,120.277642,0.0,15.924020125,39.44516864647644,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41428,80,6,2025-08-12 05:52:45,127.399846,5.227635832464037,0.07064372746573022,0.07064372746573022,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.924980750000001,120.256707,0.0,39.436916046621874,127.39984600000001,120.256707,0.0,15.924980750000001,39.436916046621874,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41482,80,6,2025-08-12 05:52:45,127.40352,5.227485080475014,0.07064169027668937,0.07064169027668937,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.925439999999998,120.262553,0.0,39.43894137079244,127.40352,120.262553,0.0,15.925439999999998,39.43894137079244,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41498,80,6,2025-08-12 05:52:45,127.403134,5.227500918462493,0.07064190430354719,0.07064190430354719,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.92539175,120.269399,0.0,39.44154680013397,127.40313400000001,120.269399,0.0,15.92539175,39.44154680013397,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
