src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.2,192.168.56.1,37188,22,6,2025-08-12 07:17:22,90.950984,168.11252971160818,0.8685997283987603,0.43979733083481537,0.42880239756394495,40,39,6821,8469,970,66,170.525,229.8360271476167,1066,54,217.15384615384616,281.85935194717047,1066,54,193.54430379746836,257.8946305029184,66509.6404422368,800,780,20,28,1.1660382564102567,58.733582,0.0,7.451072989011846,90.950984,58.738017,0.0,2.332076512820513,10.408525324863753,90.949568,58.733725,0.000388,2.393409684210526,10.536712007940611,28,25,0,0,2,7,2,53,75,0,0,0.975,193.54430379746836,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.525,217.15384615384616,0,40,39,6821,8469
192.168.56.2,192.168.56.1,37212,22,6,2025-08-12 07:17:22,90.954416,82.37093183029178,0.4617697726738194,0.2418794047339054,0.219890367939914,22,20,3978,3514,970,66,180.8181818181818,251.53955704884785,1066,54,175.7,234.99363821176092,1066,54,178.38095238095238,243.81403455648737,59445.28344671202,440,400,20,14,2.218400390243903,90.547515,0.0,13.96606653594063,90.954416,90.549084,0.0,4.331162666666667,19.27892984272016,90.95142899999999,90.547659,0.000566,4.7869173157894735,20.21400719295289,14,12,0,0,1,5,1,26,39,0,0,0.9090909090909091,178.38095238095238,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.8181818181818,175.7,0,22,20,3978,3514
192.168.56.2,192.168.56.1,37242,22,6,2025-08-12 07:17:22,91.299558,78.86127991988745,0.5586007327658694,0.28477684415514914,0.2738238886107203,26,25,3361,3839,970,66,129.26923076923077,170.97425755230563,1066,54,153.56,214.81938087612113,1066,54,141.1764705882353,194.09121626359214,37671.4002306805,520,500,20,14,1.8259911599999998,76.298565,0.0,10.834412863521505,91.297787,76.298565,0.0,3.65191148,15.103020280684717,91.299405,76.29883,4.3e-05,3.8041418750000005,15.395733659498562,14,13,0,0,3,7,3,27,47,0,0,0.9615384615384616,141.1764705882353,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.26923076923077,153.56,0,26,25,3361,3839
192.168.56.2,192.168.56.1,37256,22,6,2025-08-12 07:17:22,91.067008,72.72666737881626,0.4721797821665559,0.24158035366660996,0.23059942849994589,22,21,3066,3557,970,66,139.36363636363637,184.03471645182634,1066,54,169.38095238095238,230.96288635900672,1066,54,154.02325581395348,208.81810136855262,43604.99945916712,440,420,20,13,2.1682620952380955,90.747118,0.0,13.833697770076423,91.062902,90.747118,0.0,4.336328666666667,19.322047177307397,91.06686,90.74729,7.5e-05,4.553343,19.774254048269718,13,12,0,0,3,5,2,25,40,0,0,0.9545454545454546,154.02325581395348,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.36363636363637,169.38095238095238,0,22,21,3066,3557
192.168.56.2,192.168.56.1,37304,22,6,2025-08-12 07:17:22,90.820467,71.09630916123785,0.44042935828550633,0.2312254130998908,0.2092039451856155,21,19,3032,3425,970,66,144.38095238095238,187.67080504372444,1066,54,180.26315789473685,240.24063421259487,1066,54,161.425,215.00382409389837,46226.644374999996,420,380,20,13,2.328729923076923,90.553859,0.0,14.31200992524173,90.82046700000001,90.553859,0.0,4.54102335,19.732704279444267,90.819083,90.55404,0.000126,5.04550461111111,20.738870296144537,13,12,0,0,1,5,2,25,37,0,0,0.9047619047619048,161.425,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.38095238095238,180.26315789473685,0,21,19,3032,3425
192.168.56.2,192.168.56.1,37336,22,6,2025-08-12 07:17:22,90.84181,136.9083244818658,0.8146028794450485,0.40730143972252425,0.40730143972252425,37,37,5671,6766,970,66,153.27027027027026,198.03025275961014,1066,54,182.86486486486487,242.91619755749625,1066,54,168.06756756756758,222.10603330215596,49331.09002921841,740,740,20,25,1.2444083561643835,76.03437,0.0,8.968100926209733,90.84181,76.038986,0.0,2.523383611111111,12.644420310199527,90.840858,76.034532,5.8e-05,2.523357166666667,12.64363217935329,25,23,0,0,3,7,3,48,70,0,0,1.0,168.06756756756758,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.27027027027026,182.86486486486487,0,37,37,5671,6766
192.168.56.2,192.168.56.1,37374,22,6,2025-08-12 07:17:22,91.180145,194.12120917333485,1.0747953954229839,0.5373976977114919,0.5373976977114919,49,49,8007,9693,970,66,163.40816326530611,208.4994903695966,1066,54,197.81632653061226,254.77101951851904,1066,54,180.6122448979592,233.42265391402472,54486.135360266555,980,980,20,36,0.9400014948453609,76.057495,0.0,7.800772155851369,91.178583,76.062241,0.0,1.8995538124999998,11.007545458893407,91.17998,76.05763,0.000276,1.8995829166666667,11.006801037720265,36,33,0,0,3,7,3,69,94,0,0,1.0,180.6122448979592,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.40816326530611,197.81632653061226,0,49,49,8007,9693
192.168.56.2,192.168.56.1,37384,22,6,2025-08-12 07:17:22,91.179156,135.67793937465268,0.8006215806603868,0.4057944997867714,0.39482708087361545,37,36,5671,6700,970,66,153.27027027027026,198.0302527596101,1066,54,186.11111111111111,245.47400606646923,1066,54,169.46575342465752,223.29844162611508,49862.194032651525,740,720,20,25,1.2663771666666668,59.05743,0.0,7.782689496969198,91.173699,59.05743,0.0,2.5326027499999997,10.860207054098426,91.17904800000001,59.058058,7.5e-05,2.605115657142857,11.005297914567945,25,23,0,0,2,7,3,48,69,0,0,0.972972972972973,169.46575342465752,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.27027027027026,186.11111111111111,0,37,36,5671,6700
192.168.56.2,192.168.56.1,37408,22,6,2025-08-12 07:17:22,91.202039,135.73161450918877,0.8004207011205089,0.40569268412957304,0.3947280169909359,37,36,5679,6700,970,66,153.48648648648648,198.02219662938165,1066,54,186.11111111111111,245.4740060664692,1066,54,169.57534246575344,223.28689805732176,49857.0388440608,740,720,20,25,1.2666949861111112,58.788934,0.0,7.774506865243847,91.19709399999999,58.792615,0.0,2.533252611111111,10.848493572284571,91.201936,58.789067,7.2e-05,2.6057696,10.993271852778605,25,23,0,0,2,7,3,48,69,0,0,0.972972972972973,169.57534246575344,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.48648648648648,186.11111111111111,0,37,36,5679,6700
192.168.56.2,192.168.56.1,37430,22,6,2025-08-12 07:17:23,91.135977,125.81200506579307,0.6693295228513324,0.35112368411873174,0.31820583873260067,32,29,5310,6156,970,66,165.9375,210.10368534071458,1066,54,212.27586206896552,266.62098845800904,1066,54,187.9672131147541,239.7668243785223,57488.13007256116,640,580,20,24,1.51893295,90.606998,0.0,11.598283070455285,91.13597700000001,90.611168,0.0,2.9398702258064513,16.00652298529792,91.121882,90.607157,0.00108,3.254352928571429,16.81106040641968,24,21,0,0,1,5,1,45,58,0,0,0.90625,187.9672131147541,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.9375,212.27586206896552,0,32,29,5310,6156
